Latitude	Longitude	Elevation
19.17421	104.3763	653.0420532
19.18130076	104.3784661	652.6501465
19.18839149	104.3806324	514.9741821
19.19548219	104.3827989	705.2296143
19.20257287	104.3849656	668.75177
19.20966352	104.3871325	576.5055542
19.21675415	104.3892995	449.360199
19.22384475	104.3914668	454.8768311
19.23093533	104.3936342	257.0077515
19.23802588	104.3958018	152.323822
19.24511641	104.3979696	152.0200653
19.25220691	104.4001376	140.7830048
19.25929738	104.4023058	95.1027298
19.26638783	104.4044742	193.7759552
19.27347826	104.4066427	86.37478638
19.28056866	104.4088115	161.978363
19.28765903	104.4109804	140.1253815
19.29474938	104.4131495	114.6592712
19.3018397	104.4153188	142.025238
19.30892999	104.4174883	256.0331116
19.31602026	104.419658	234.6915588
19.32311051	104.4218278	98.85409546
19.33020073	104.4239979	248.3104706
19.33729092	104.4261682	247.3770599
19.34438109	104.4283386	413.5032043
19.35147123	104.4305092	425.384491
19.35803022	104.432637	701.0101318
19.35071131	104.4336415	438.9283752
19.34339239	104.4346458	342.7467346
19.33607347	104.4356501	251.3053131
19.32875454	104.4366542	132.0921021
19.3214356	104.4376583	348.8601685
19.31411666	104.4386623	463.096344
19.30679772	104.4396662	232.2674713
19.29947877	104.44067	299.7304993
19.29215981	104.4416737	276.67453
19.28484085	104.4426773	116.3177414
19.27752188	104.4436809	84.70323181
19.27020291	104.4446843	232.0085449
19.26288393	104.4456877	224.1425018
19.25556494	104.4466909	490.3086243
19.24824596	104.4476941	450.8598633
19.24143634	104.450696	433.9040833
19.23463488	104.4537298	350.5973511
19.22783337	104.4567633	357.1043091
19.22103181	104.4597966	503.2906189
19.2142302	104.4628297	512.0063477
19.20742854	104.4658625	461.6108093
19.20062684	104.468895	356.5813904
19.19382508	104.4719273	457.6049805
19.18702327	104.4749593	259.7044373
19.18022141	104.4779911	425.1624146
19.1734195	104.4810227	774.8823242
19.16661754	104.484054	873.0984497
19.15981553	104.487085	868.0145264
19.15301347	104.4901158	875.197876
19.15321324	104.4917275	857.5992432
19.16059176	104.4918845	999.6657715
19.16797028	104.4920414	813.4672241
19.1753488	104.4921984	609.2142944
19.18272732	104.4923554	439.6304321
19.19010585	104.4925125	584.6813965
19.19748437	104.4926695	560.6038208
19.20486289	104.4928266	298.9278259
19.21224141	104.4929836	119.3081284
19.21961788	104.49284	127.0247803
19.2269935	104.4925704	284.7016296
19.23436912	104.4923007	355.1457214
19.24174474	104.492031	453.8509521
19.24912035	104.4917614	191.2841187
19.25649597	104.4914916	130.8384705
19.26387159	104.4912219	87.6708374
19.2712472	104.4909521	144.2697449
19.27862282	104.4906823	207.9549866
19.28599843	104.4904125	328.2960205
19.29304253	104.49192	425.1366577
19.29976678	104.4951422	636.7363892
19.30649097	104.4983647	598.9545288
19.3132151	104.5015875	462.2171326
19.31993917	104.5048106	251.7168732
19.32666319	104.5080339	170.4583435
19.33338715	104.5112575	280.5701904
19.34011106	104.5144813	474.0772095
19.34372144	104.5195908	682.3904419
19.34292793	104.527367	697.2301636
19.3421341	104.5351431	441.0739746
19.34133993	104.5429191	745.9558105
19.34054543	104.5506951	660.3590698
19.33975061	104.558471	568.6759033
19.33895545	104.5662468	431.8010559
19.33784083	104.5739773	430.1456604
19.33668235	104.5817016	244.2688446
19.33552354	104.5894258	287.8486938
19.33436441	104.5971498	239.5962067
19.33320496	104.6048738	442.5417786
19.33204518	104.6125976	334.8340759
19.33088507	104.6203213	410.0526733
19.3294046	104.6274451	458.896637
